CONTENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
“We need to work together” to make the #EnergyTransition a success stated @AdinaValean - the Chair of the @EP_Industry from @Europarl_EN at @EventsPOLITICO with @Shell https://t.co/HTE8th2oyz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hello again, Andrew. Always delighted when you show an interest in my work as an MEP. I'm worried that you'll get RSI with all these tweets. Put your keyboard down and ring in for a chat on @talkRADIO on Tuesday at 11 am.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"'@BrexitAlex @jessphillips @JimmerUK @Singletoncity @UKLabour @jayrayner1 @jeremycorbyn Impressive - You actually have less people supporting your comments than Lance Foreman, &amp; he really is an out of touch ??  He’s the best example to highlight the delusions of BP, I think now you will be how I show people how little reach you have.   Keep tweeting Alex ??'";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Do everyone a favour and take the first step to reducing emissions by shutting down your fossil fuel operations.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Senator Ben Cardin now at Brookings: ”Hungary is no longer a democratic state; every official we met in Bp in recent visit used identical non-factual talking points. It was like being in China” @OSCE @HelsinkiComm @ZgutEdit @panyiszabolcs @BipartisanTDWG https://t.co/RxMeXu7O2m";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I’ve kept in touch with Oliver since meeting him in a BP rally. He’s honest and intelligent and, like all our other BP candidates, is putting country and democracy before self. https://t.co/br1sPq0xT0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Excellent news Labour will back an early election but fear in Brexit Party (BP) has always been that even a bad deal would mean majority of their voters will not vote  for BP. Without a deal with Conservatives end of the road for BP? https://t.co/UbRFH7VS8n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouch @Nigel_Farage @brexitparty_uk @BrexitAlex @TiceRichard remind me why don't we want Nazanin Zaghari-Ratcliffe released?!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Well weirdly the BP deleted this tweet about the 'selection' of Alexandra Phillips as a PPC, mate of Nigel Farage, UKIP old hand and former employee of Cambridge Analytica’s parent company and then sent it again. Was it something I said? https://t.co/yfMe86CLTz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Don't worry Joyce we are going to win all the seats so that we the Brexit Party become the people's government and can deliver the best brexit ever!  @BorisJohnson_MP @MarkFrancois12 and @David_Davis_UK can enjoy early retirement!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
